from,to,year,relationship,sector,channel
sp,FashionweekCanada,zweieinundzwanzig,model,modeling,
aa,FashionweekMilan,zweidreizehn,model,modeling,
aa,FashionweekMilan,zweisiebzehn,model,modeling,
aa,FashionweekMilan,zweiachtzehn,model,modeling,
aa,FashionweekNewyork,zweizwoelf,model,modeling,
aa,FashionweekNewyork,zweivierzehn,model,modeling,
aa,FashionweekNewyork,zweifuenfzehn,model,modeling,
aa,FashionweekNewyork,zweisechszehn,model,modeling,
aa,FashionweekNewyork,zweisiebzehn,model,modeling,
aa,FashionweekNewyork,zweineunzehn,model,modeling,
aa,FashionweekNewyork,zweieinundzwanzig,model,modeling,
aa,FashionweekNewyork,zweizweiundzwanzig,model,modeling,
HN,FashionweekNewyork,zweifuenfzehn,model,modeling,
vf,FashionweekNewyork,zweieinundzwanzig,model,modeling,
vf,FashionweekNewyork,zweizweiundzwanzig,model,modeling,
aa,FashionweekParis,zweisiebzehn,model,modeling,
aa,FashionweekParis,zweiachtzehn,model,modeling,
aa,FashionweekParis,zweizwanzig,model,modeling,
BM,FashionweekParis,zweizehn,model,modeling,
CB,FashionweekParis,,model,modeling,
LH,FashionweekParis,,model,modeling,
sg,FashionweekParis,zweizweiundzwanzig,model,modeling,
LH,FashionweekSydney,zweidreizehn,model,modeling,
so,ferragamo,zweieinundzwanzig,model,modeling,
so,ferragamo,zweizweiundzwanzig,model,modeling,
HN,fhmfrance,,model,modeling,
SH,fielmann,zweiachtzehn,model,advertisement,
jf,fordmex,zweiachtzehn,model,advertisement,
sn,fossil,zweiachtzehn,model,advertisement,
rm,fragdochdieMaus,zweidreizehn,candidate,tvshow,WDR
aa,francinamodels,,contract,modeling,
le,franziskus,zweivierzehn,love,,
le,franziskus,zweifuenfzehn,love,,
le,franziskus,zweisechszehn,love,,
le,franziskus,zweisiebzehn,love,,
le,franziskus,zweiachtzehn,love,,
le,franziskus,zweineunzehn,love,,
jw,FreiberuflicheJournalistin,zweizweiundzwanzig,job,journalism,
jwr,fruehling,zweizwanzig,actor,tvshow,ZDF
tda,fruehstuecksfernsehen,zweiachtzehn,candidate,tvshow,Sat1
sg,furla,zweiachtzehn,ambassodor,advertisement,
SH,galitafashion,zweineunzehn,model,modeling,
ak,garnierreineHaut,zweielf,model,modeling,
sg,glamour,zweieinundzwanzig,model,modeling,
SAH,GNTMBlog,zweisiebzehn,model,advertisement,
rm,GNTMjury,zweizwanzig,jury,tvshow,Pro7
rm,GNTMjury,zweieinundzwanzig,jury,tvshow,Pro7
tda,GNTMjury,zweineunzehn,jury,tvshow,Pro7
jds,GNTMVideospiel,zweineun,host,event,
HN,gq,,model,modeling,
mb,gq,zweisechszehn,model,modeling,
rm,gq,zweizwoelf,model,modeling,
sg,grazia,zweiachtzehn,model,modeling,
rm,grilldenHenssler,zweifuenfzehn,candidate,tvshow,VOX
rm,grilldenHenssler,zweizwanzig,candidate,tvshow,VOX
HN,guidomariakretschmar,,model,modeling,
BM,gutereise,zweielf,actor,movie,
AW,halloweenhorrorhostel,zweisieben,actor,movie,
AW,hallhuberkampagne,zweiacht,model,modeling,
AW,hallhuberkampagne,zweisieben,model,advertisement,
BM,Hallmann,zweisechszehn,love,,
BM,Hallmann,zweisiebzehn,love,,
BM,Hallmann,zweiachtzehn,love,,
BM,Hallmann,zweineunzehn,love,,
