from,to,year,relationship,sector,channel
lwe,becomealive,2021,founder,health,
lwe,becomealive,2022,founder,health,
jb,GNTM,2011,candidate,tv show,Pro7
jb,OneEins,2011,contract,modeling,
jb,cosmopolitan,2011,model,modeling,
jb,viewManagement,2012,contract,modeling,
jb,instyle,2012,model,modeling,
jb,hugoboss,2012,model,fashion,
jb,louisamodels,2012,contract ,modeling ,
jb,makeupMissyln,2012,model,modeling,
jb,cosmopolitan,2012,model,modeling,
jb,elitemodels,2012,contract,modeling,
jb,backwerk,2014,job,food,
jb,backwerk,2015,job,food,
jb,backwerk,2016,job,food,
jb,backwerk,2017,job,food,
jb,backwerk,2018,job,food,
jb,backwerk,2019,job,food,
jb,backwerk,2020,job,food,
jb,backwerk,2021,job,food,
jb,backwerk,2022,job,food,
rm,GNTM,2011,candidate,tv show,Pro7
rm,OneEins,2011,contract,modeling,
rm,dieAlm,2011,candidate,tv show,Pro7
rm,meinMannkann,2012,candidate,tv show,Sat1
rm,gq,2012,model,modeling,
rm,Fashionweek_Berlin,2012,contract,modeling,
rm,eskannnureinengeben,2012,candidate,tv show,RTL
rm,letsdance,2012,candidate,tv show,RTL
rm,taff,2012,host,tv show,Pro7
rm,backstageGNTM,2012,host,tv show,Pro7
rm,inallerFreundschaft,2012,actor,tv show,ARD
rm,inallerFreundschaft,2013,actor,tv show,ARD
rm,fragdochdieMaus,2013,candidate,tv show,WDR
rm,taskforceBerlin,2013,actor,tv show,Pro7
rm,absoluteMehrheit,2013,candidate,tv show,Pro7
rm,backstageGNTM,2013,host,tv show,Pro7
rm,notrufhafenkante,2014,actor,tv show,ZDF
rm,Fashionweek_Berlin,2014,model,fashion,
rm,jungegegenMaedchen,2015,candidate,tv show,RTL
rm,grilldenHenssler,2015,candidate,tv show,VOX
rm,werweissdennsowas,2016,candidate,tv show,ARD
rm,dasDuellumdieGeld,2016,candidate,tv show,Pro7
rm,unsereZeitistjetzt,2016,actor,movie,
rm,storyofmylife,2017,candidate,tv show,VOX
rm,allegegeneinen,2018,host,tv show,Pro7
rm,mastersofDance,2018,host,tv show,Pro7
rm,mastersofDance,2019,host,tv show,Pro7
rm,sturmderLiebe,2019,actor,tv show,ARD
rm,rennumdieMillion,2019,host,tv show,Pro7
rm,dasgrossePromibacken,2020,candidate,tv show,Sat1
rm,GNTMjury,2020,jury,tv show,Pro7
rm,grilldenHenssler,2020,candidate,tv show,VOX
rm,red,2020,host,tv show,Pro7
rm,GNTMjury,2021,jury,tv show,Pro7
rm,bwmcommunications,2012,contract,show business,
rm,bwmcommunications,2013,contract,show business,
rm,bwmcommunications,2014,contract,show business,
rm,bwmcommunications,2015,contract,show business,
rm,bwmcommunications,2016,contract,show business,
rm,bwmcommunications,2017,contract,show business,
rm,bwmcommunications,2018,contract,show business,
rm,bwmcommunications,2019,contract,show business,
rm,bwmcommunications,2020,contract,show business,
rm,bwmcommunications,2021,contract,show business,
rm,bwmcommunications,2022,contract,show business,
rm,Instagram,2012,influencer,social media,
rm,Instagram,2013,influencer,social media,
rm,Instagram,2014,influencer,social media,
rm,Instagram,2015,influencer,social media,
rm,Instagram,2016,influencer,social media,
rm,Instagram,2017,influencer,social media,
rm,Instagram,2018,influencer,social media,
rm,Instagram,2019,influencer,social media,
rm,Instagram,2020,influencer,social media,
rm,Instagram,2021,influencer,social media,
rm,Instagram,2022,influencer,social media,
rm,TikTok,2019,influencer,social media,
rm,TikTok,2020,influencer,social media,
rm,TikTok,2021,influencer,social media,
rm,TikTok,2022,influencer,social media,
rm,sinato,2012,love,,
rm,sinato,2013,love,,
rm,sinato,2014,love,,
rm,sinato,2015,love,,
rm,sinato,2016,love,,
rm,sinato,2017,love,,
rm,sinato,2018,love,,
rm,sinato,2019,love,,
rm,sinato,2020,love,,
rm,sinato,2021,love,,
rm,sinato,2022,love,,
ak,GNTM,2011,candidate,tv show,Pro7
ak,OneEins,2011,contract,modeling ,
ak,garnierreineHaut,2011,model,modeling,
ak,jeansblessedandcursed,2011,model,modeling,
ak,sonyericsonxperia,2011,ambassador,modeling,
ak,philippplein,2012,model,fashion,
ak,cosmopolitan,2012,model,modeling,
ak,elle,2012,contract,modeling,
ak,Fashionweek_Berlin,2012,contract,modeling,
ak,twofliesmanagement,2012,contract,modeling,
ak,dkms,2012,ambassador,event,
LH,GNTM,2012,candidate,tv show,Pro7
LH,cosmopolitan,2012,model,modeling,
LH,emmi,2012,ambassador,advertisment,
LH,maybellinejade,2012,ambassador,advertisment,
LH,zalando,2013,ambassador,advertisment,
LH,OneEins,2012,contract,modeling,
LH,OneEins,2013,contract,modeling,
LH,OneEins,2014,contract,modeling,
LH,munichmodels,2014,contract,modeling,
LH,IMGModels,2014,contract,modeling,
LH,Fashionweek_Paris,,model,modeling,
LH,elle,,model,modeling,
LH,harpersbazaar,2012,model,modeling,
LH,escada,2014,ambassador,advertisment,
LH,Fashionweek_Berlin,2014,model,modeling,
LH,Fashionweek_Sydney,2013,model,modeling,
LH,thejournal,2014,model,modeling,
LH,asos,,model,modeling,
LH,weidner ,2012,love,,
LH,weidner ,2013,love,,
LH,weidner ,2014,love,,
LH,weidner ,2015,love,,
LH,weidner ,2016,love,,
LH,weidner ,2017,love,,
LH,weidner ,2018,love,,
LH,Instagram,2012,influencer,social media,
LH,Instagram,2013,influencer,social media,
LH,Instagram,2014,influencer,social media,
LH,Instagram,2015,influencer,social media,
LH,Instagram,2016,influencer,social media,
LH,Instagram,2017,influencer,social media,
LH,Instagram,2018,influencer,social media,
LH,Instagram,2019,influencer,social media,
LH,Instagram,2020,influencer,social media,
LH,Instagram,2021,influencer,social media,
LH,Instagram,2022,influencer,social media,
SAH,GNTM,2012,candidate,tv show,Pro7
SAH,OneEins,2012,contract,modeling,
SAH,Veranstaltungskauffrau,,trainee,event,
SAH,lizasjewellery,2016,modeling,advertisment,
SAH,mariannaderifashion,2016,ambassador,advertisment,
SAH,cityzeit,2017,model,modeling,
SAH,restaurant,,job,food ,
SAH,GNTM_Blog,2017,model,advertisment,
SAH,soccx,2016,model,modeling,
DM,GNTM,2012,candidate,tv show,Pro7
DM,Betreuungshilfe,,job,health,
DM,rheingalerieludwigshafen,2018,ambassador,advertisment,
DM,Fashionweek_Berlin,,model,modeling,
DM,philippplein,,model,modeling,
DM,OneEins,2012,contract,modeling,
le,GNTM,2013,candidate,tv show,Pro7
le,OneEins,2013,contract,modeling,
le,pma ,2014,contract,modeling,
le,pma ,2015,contract,modeling,
le,pma ,2016,contract,modeling,
